body,x,y,z,conf,syn_id
10425,26587,22247,6587,0.922,28969979024009179
10425,27913,22671,6570,0.947,28895213122514185
10425,27953,22759,6577,0.972,28925999632641329
10425,26522,22306,6630,0.926,29159095147718554
10425,27876,22628,6606,0.9,29053542706736356
10425,27928,22745,6622,0.96,29123911696280856
10425,26506,22317,6686,0.959,29405385775409034
10425,26957,22467,6658,0.96,29282240787671373
10425,27918,22696,6657,0.968,29277843221409038
10425,27911,22845,6664,0.972,29308629859462407
10425,27902,22902,6671,0.97,29339416304577790
10425,27813,22768,6891,0.927,30306986256002213
10425,28005,22780,6951,0.957,30570869071834469
10425,27914,22763,7028,0.956,30909518617537802
10425,27823,22957,7148,0.944,31437284605717679
10425,27813,23035,7125,0.937,31336129699540133
10425,28798,22069,7260,0.958,31929863952691326
10425,28785,22104,7283,0.962,32031019095847025
10425,28461,22144,7286,0.945,32044213319266093
10425,28500,22253,7235,0.969,31819913175789396
10425,28753,22124,7333,0.958,32250921463345233
10425,28973,22098,7332,0.97,32246523362308397
10425,28332,22216,7296,0.927,32088193935371948
10425,28415,22345,7302,0.971,32114582484971263
10425,28367,22512,7352,0.982,32334485160750799
10425,27559,22634,7310,0.97,32149767463136167
10425,28558,22176,7399,0.972,32541192642129806
10425,27650,22567,7364,0.954,32387261834226690
10425,29089,23255,7388,0.965,32492816393335201
10425,28956,23419,7418,0.946,32624758132601116
10425,28797,22046,7455,0.97,32787482974122109
10425,29004,22042,7448,0.972,32756696640155980
10425,28353,22180,7445,0.961,32743502790028993
10425,28712,22176,7452,0.945,32774289107218472
10425,28382,22398,7473,0.944,32866648549519070
10425,29079,23262,7444,0.93,32739107012637079
10425,28969,23322,7440,0.982,32721514952421673
10425,29076,23325,7475,0.953,32875446586601876
10425,28902,23462,7477,0.977,32884242966933734
10425,28384,21895,7535,0.934,33139326378340064
10425,28916,21990,7508,0.963,33020579321770228
10425,29005,22011,7525,0.972,33095346156499277
10425,28420,22141,7537,0.965,33148122987261700
10425,28501,22221,7527,0.967,33104142689922901
10425,29262,22541,7544,0.969,33178910151701070
10425,29144,23156,7544,0.93,33178911441449432
10425,28726,22036,7591,0.956,33385617278660662
10425,28480,22126,7607,0.961,33455986211581760
10425,28418,22265,7578,0.949,33328443154263810
10425,29082,22322,7562,0.951,33258074529624474
10425,28911,22372,7568,0.98,33284462913548527
10425,29032,22404,7567,0.952,33280064934146408
10425,29244,22654,7577,0.948,33324045923545660
