body,x,y,z,conf,syn_id
11128,23701,27975,13517,0.864,59448453358443669
11128,24053,28240,14770,0.837,64959206192602613
11128,24238,28106,15325,0.858,67400121725247150
11128,19555,15727,19998,0.959,87952167110986851
11128,19588,15723,19976,0.945,87855410079353988
11128,19620,15796,20017,0.946,88035730139401380
11128,19506,15711,20053,0.949,88194059635543090
11128,19606,15801,20040,0.876,88136885219642518
11128,19640,15707,20173,0.965,88721825208487096
11128,15170,19661,20308,0.947,89315569779620674
11128,15227,19686,20379,0.978,89627831134337915
11128,15338,19498,20471,0.927,90032451019095018
11128,15306,19559,20445,0.89,89918101937732554
11128,15328,19540,20464,0.97,90001664781597664
11128,15314,19626,20465,0.759,90006063008463826
11128,15124,19726,20420,0.964,89808151125179156
11128,15333,19617,20483,0.958,90085227826789349
11128,15328,19394,20671,0.963,90912060103212000
11128,15362,19480,20630,0.964,90731740376611842
11128,15348,19573,20628,0.968,90722944478624756
11128,15358,19394,20672,0.835,90916458149723134
11128,19328,15672,21112,0.937,92851590809013120
11128,19253,15536,21132,0.95,92939551454022453
11128,19358,15539,21153,0.961,93031910437047198
11128,19297,15655,21180,0.946,93150657936116577
11128,19344,15665,21158,0.95,93053900933843856
11128,19361,15522,21203,0.97,93251812726950817
11128,28191,18463,21212,0.817,93291401313283615
11128,19315,15611,21269,0.967,93542083983330163
11128,27838,18199,21295,0.799,93656438620056766
11128,15536,14203,21419,0.952,94201788007201968
11128,15552,14233,21431,0.89,94254564628249792
11128,19205,15619,21392,0.925,94083043720973061
11128,19290,15651,21420,0.967,94206189090392922
11128,15518,14184,21486,0.954,94496457083600030
11128,15596,14170,21475,0.963,94448078542617836
11128,15630,14208,21498,0.96,94549233692065038
11128,19297,15588,21485,0.942,94492061981494113
11128,19169,15655,21478,0.894,94461275796425441
11128,15860,18797,21487,0.857,94500864804273652
11128,19187,15675,21512,0.965,94610809419746035
11128,15613,14229,21592,0.941,94962650108148989
11128,15629,14259,21615,0.922,95063805240818957
11128,18465,15479,21624,0.957,95103390217947169
11128,19219,15602,21587,0.954,94940662754986771
11128,19227,15628,21622,0.925,95094594437401371
11128,19309,15665,21575,0.919,94887886328974189
11128,18413,15357,21683,0.934,95362874706249709
11128,18426,15416,21637,0.913,95160564690470906
11128,18480,15510,21666,0.942,95288108236425264
11128,18429,15577,21683,0.953,95362875167623165
11128,18439,15339,21700,0.869,95437641459189767
11128,18365,15422,21737,0.951,95600369354164157
11128,18370,15549,21715,0.97,95503612597258178
11128,19446,15496,21788,0.964,95824669881420790
11128,19509,15504,21786,0.922,95815873805175861
11128,15718,14716,21878,0.934,96220492431637862
11128,19467,15486,21883,0.947,96242484279004171
11128,17169,13829,21941,0.941,96497567501665041
11128,15695,14624,21902,0.963,96326045354966351
11128,15620,14692,21919,0.964,96400812288261380
11128,15785,14715,21949,0.949,96532753731829161
11128,19424,15538,21903,0.94,96330445318278112
11128,19478,15504,21900,0.792,96317251107441686
11128,17238,13777,21974,0.833,96642702927479638
11128,17133,13861,22007,0.956,96787838638506733
11128,17201,13890,21991,0.944,96717469955146545
11128,15702,14664,22010,0.959,96801034462051670
11128,17257,13770,22036,0.966,96915381796488041
11128,17319,13788,22054,0.958,96994546671436711
11128,17176,13917,22050,0.862,96976954755924760
11128,17333,13871,22102,0.932,97205653078033333
11128,17193,13912,22084,0.92,97126488326816553
11128,17353,13898,22084,0.956,97126488297456585
11128,17600,13958,22178,0.929,97539904795329728
11128,17575,14051,22189,0.969,97588283501986983
11128,17596,14053,22206,0.869,97663050296870076
