body,x,y,z,conf,syn_id
10311,23904,24524,7243,0.858,31855102310505824
10311,24207,24688,7334,0.819,32255324886949519
10311,23945,23694,7447,0.921,32752302058134921
10311,25078,24772,7483,0.847,32910633993265654
10311,23608,23933,7545,0.886,33183311117442104
10311,24043,24331,7547,0.869,33192108045131243
10311,24279,24713,7531,0.824,33121740102065879
10311,23721,24524,7609,0.894,33464787333569705
10311,23776,24794,7614,0.912,33486778132356320
10311,23890,23806,7647,0.823,33631911595236690
10311,25115,25049,7766,0.798,34155281736819227
10311,23982,25842,7777,0.926,34203661911481774
10311,25095,24750,7826,0.861,34419163900436999
10311,23855,25952,7865,0.821,34590690235145519
10311,24057,24624,7873,0.862,34625871822216697
10311,25117,24789,7896,0.775,34727027238003229
10311,24899,24853,7931,0.893,34880959000109379
10311,23972,24058,7938,0.803,34911743658450340
10311,24064,24681,7947,0.821,34951327383576064
10311,23917,24543,8031,0.873,35320763001101677
10311,23844,22404,8182,0.841,35984863538470180
10311,23731,22465,8163,0.792,35901300782685363
10311,24717,23751,8141,0.83,35804546456379533
10311,23678,24477,8176,0.942,35958479606799486
10311,24179,24875,8140,0.954,35800150767066739
10311,24376,24850,8134,0.847,35773762435571512
10311,24669,25572,8206,0.915,36090423298515037
10311,23862,25614,8236,0.765,36222364781927734
10311,24892,23903,8258,0.819,36319118216945980
10311,23621,23949,8294,0.777,36477447987813445
10311,24994,24186,8275,0.78,36393885601128866
10311,25159,24363,8299,0.823,36499439088591431
10311,23907,22336,8327,0.87,36622580139973987
10311,24885,24606,8345,0.907,36701749737709877
10311,24385,22469,8426,0.968,37057987023494977
10311,25274,23799,8387,0.838,36886465998774970
10311,23761,23578,8454,0.767,37181134651546833
10311,23844,23870,8478,0.921,37286688380181796
10311,23525,23940,8493,0.883,37352659224648677
10311,25464,24936,8468,0.818,37242710150636408
10311,25006,25640,8480,0.881,37295488185164206
10311,23717,26046,8474,0.932,37269100757540005
10311,25269,23331,8523,0.89,37484599342817973
10311,23567,24512,8538,0.75,37550572517219343
10311,24732,24617,8525,0.93,37493398132777116
10311,24441,24601,8636,0.943,37981581261954937
10311,23466,24001,8653,0.922,38056346794351530
10311,19376,21414,8710,0.909,38307030020148144
10311,23655,26026,8722,0.829,38359816250350695
10311,18890,21968,8784,0.878,38632486623791562
10311,23730,23902,8820,0.864,38790820354088114
10311,23406,24398,8790,0.967,38658879998942062
10311,23613,26303,8794,0.849,38676476180061245
10311,25594,22685,8834,0.908,38852390453011450
10311,23904,26441,8901,0.899,39147067446156640
10311,23491,24456,8988,0.886,39529693329775555
10311,23840,24475,9081,0.775,39938711695154464
10311,23731,24518,9068,0.758,39881537180687539
10311,23455,24676,9040,0.935,39758392209726367
10311,19674,22431,9140,0.78,40198192152726746
10311,24122,23614,9105,0.775,40044263005773370
10311,23295,24301,9149,0.822,40237778493004543
10311,25964,26237,9141,0.801,40202598181004652
10311,25452,22568,9155,0.794,40264163137708908
10311,25439,23717,9208,0.808,40497262012425055
10311,23617,24086,9262,0.752,40734757297871937
10311,23370,26146,9281,0.891,40818324501715786
10311,19680,21486,9366,0.922,41192148682427616
10311,19659,22773,9350,0.875,41121782637284555
10311,23075,24044,9355,0.794,41143775535323683
10311,23291,24813,9435,0.894,41495620868922107
10311,23198,26030,9469,0.922,41645157002533534
10311,25836,26057,9436,0.836,41500021524292844
10311,17572,23016,9496,0.776,41763897937511588
10311,23471,24180,9489,0.919,41733114053024687
10311,24322,25370,9481,0.848,41697932176547586
10311,19869,22653,9567,0.825,42076158478536093
10311,25738,25953,9599,0.772,42216902887498890
10311,25581,24792,9604,0.947,42238890685260781
10311,25076,22326,9699,0.913,42656699932238324
10311,23079,23745,9664,0.816,42502771280206375
10311,23099,24820,9673,0.809,42542355953244731
10311,23126,25942,9686,0.931,42599532910893654
10311,25138,26185,9708,0.894,42696290443747890
10311,20077,21513,9752,0.815,42889794692337261
10311,24374,23601,9730,0.956,42793042047950646
10311,23311,24277,9750,0.876,42881004395846415
10311,25770,24454,9729,0.847,42788645790311594
10311,25201,25774,9770,0.808,42968968465506929
10311,17858,22361,9845,0.842,43298814796252610
10311,17373,22627,9854,0.9,43338397772694493
10311,23136,24730,9852,0.786,43329606089988704
10311,25306,24931,9821,0.826,43193267069674202
10311,23103,25933,9851,0.919,43325210566351423
10311,17461,22501,9859,0.917,43360387741008949
10311,24975,21730,9922,0.774,43637463054311823
10311,19979,22813,9920,0.834,43628669232500235
10311,25252,25018,9932,0.841,43681450414858916
10311,24022,25084,9950,0.847,43760615390469590
10311,25289,25210,9942,0.903,43725431282623177
10311,23339,24315,9989,0.858,43932137591692075
10311,24021,24805,10023,0.799,44081672200674773
10311,24426,25706,9989,0.815,43932140508831594
10311,18748,21366,10149,0.857,44635818848962876
10311,24160,21654,10124,0.928,44525868290170464
10311,24077,23746,10153,0.868,44653416026234381
10311,25511,24237,10138,0.842,44587446358270887
10311,25761,24759,10153,0.907,44653418150651041
10311,25204,24913,10144,0.763,44613836055011956
10311,25718,25781,10114,0.798,44481896480007286
10311,20298,21638,10177,0.887,44758964721700682
10311,24845,22159,10232,0.905,45000858372432141
10311,24248,23710,10213,0.895,44917298741403320
10311,23584,21950,10252,0.947,45088818864348192
10311,22909,24631,10278,0.788,45203173696100733
10311,25944,25215,10293,0.8,45269145618507096
10311,24853,22074,10362,0.86,45572604240617749
10311,19648,22107,10331,0.951,45436264867974336
10311,19674,22346,10366,0.803,45590196997082330
10311,24441,23761,10324,0.796,45405482011090809
10311,24033,24646,10321,0.929,45392289727536609
10311,18901,20972,10386,0.924,45678155045816789
10311,24028,24980,10387,0.851,45682561497718236
10311,25851,24965,10422,0.922,45836493094151419
10311,18787,21410,10435,0.825,45893660243413347
10311,20613,21504,10464,0.887,46021203789369477
10311,23678,22405,10435,0.775,45893662330084478
